Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Central African Republic,Data source,Other alcoholic beverages,,,,1.41,1.41,1.37,1.37,1.37,1.37,1.35,1.33,1.33,1.31,1.30
Chad,Data source,All types,,,,0.46,0.44,0.42,0.39,0.39,0.40,0.32,0.40,0.34,0.28,0.24
Chad,Data source,Beer,,,,0.31,0.29,0.28,0.25,0.22,0.13,0.12,0.12,0.11,0.10,0.10
Chad,Data source,Wine,,,,0.02,0.01,0.00,0.00,0.01,0.10,0.09,0.09,0.07,0.09,0.10
Chad,Data source,Spirits,,,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.00,0.00,0.00,0.00
Chad,Data source,Other alcoholic beverages,,,,0.12,0.12,0.12,0.12,0.14,0.02,0.02,0.03,0.03,0.00,0.00
Chile,Data source,All types,,,,7.93,7.67,7.31,7.39,7.33,7.57,6.32,6.37,6.06,6.10,6.24
Chile,Data source,Beer,,,,2.37,2.32,2.43,2.34,2.26,2.01,1.83,1.81,1.76,1.79,1.80
Chile,Data source,Wine,,,,3.23,2.85,2.17,2.83,2.22,2.59,2.54,2.60,2.38,2.38,2.45
Chile,Data source,Spirits,,,,2.33,2.50,2.71,2.22,2.85,2.97,1.91,1.95,1.90,1.91,1.98
Chile,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.01,0.01,0.01
China,Data source,All types,,,,5.75,4.88,4.27,3.88,3.28,2.92,3.34,3.23,3.19,3.10,3.31
China,Data source,Beer,,,,1.60,1.53,1.55,1.48,1.34,1.20,1.41,1.28,1.23,1.17,1.17
China,Data source,Wine,,,,0.17,0.10,0.08,0.08,0.06,0.05,0.14,0.14,0.14,0.14,0.14
China,Data source,Spirits,,,,3.98,3.25,2.64,2.31,1.88,1.67,1.78,1.80,1.83,1.79,2.00
China,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
